Energy [eV],Flux [Phot/sec/0.1%bw]
2.642242242242242355e+04,2.719645826946735938e+13
2.648238238238238409e+04,2.706059066271221094e+13
2.654234234234234100e+04,2.692542638507261719e+13
2.660230230230230154e+04,2.679096150831619922e+13
2.666226226226226208e+04,2.665719213006344531e+13
2.672222222222222263e+04,2.652411437354275391e+13
2.678218218218218317e+04,2.639172534711322656e+13
2.684214214214214371e+04,2.626001931894947266e+13
2.690210210210210062e+04,2.612899343381821094e+13
2.696206206206206116e+04,2.599864391514716016e+13
2.702202202202202170e+04,2.586896701089779688e+13
2.708198198198198224e+04,2.573995899332035156e+13
2.714194194194194279e+04,2.561161615873714453e+13
2.720190190190190333e+04,2.548393482737001562e+13
2.726186186186186023e+04,2.535691134308675391e+13
2.732182182182182078e+04,2.523054207325984766e+13
2.738178178178178132e+04,2.510482340850062500e+13
2.744174174174174186e+04,2.497975176253289844e+13
2.750170170170170240e+04,2.485532357191246875e+13
2.756166166166166295e+04,2.473153529592279688e+13
2.762162162162161985e+04,2.460838341632307422e+13
2.768158158158158039e+04,2.448586443718978906e+13
2.774154154154154094e+04,2.436397488472870312e+13
2.780150150150150148e+04,2.424271130707953516e+13
2.786146146146146202e+04,2.412207027413272266e+13
2.792142142142142256e+04,2.400204936925784375e+13
2.798138138138138311e+04,2.388264323534135938e+13
2.804134134134134001e+04,2.376384948478744922e+13
2.810130130130130055e+04,2.364566477277921484e+13
2.816126126126126110e+04,2.352808577537842188e+13
2.822122122122122164e+04,2.341110918936048438e+13
2.828118118118118218e+04,2.329473173205547266e+13
2.834114114114114273e+04,2.317895014118216797e+13
2.840110110110109963e+04,2.306376117468038281e+13
2.846106106106106017e+04,2.294916161055248047e+13
2.852102102102102072e+04,2.283514824670172266e+13
2.858098098098098126e+04,2.272171790078365625e+13
2.864094094094094180e+04,2.260886741003605469e+13
2.870090090090090234e+04,2.249659363113398047e+13
2.876086086086085925e+04,2.238489344005452734e+13
2.882082082082081979e+04,2.227376373187750391e+13
2.888078078078078033e+04,2.216320142069850000e+13
2.894074074074074088e+04,2.205320343942293359e+13
2.900070070070070142e+04,2.194376673966575000e+13
2.906066066066066196e+04,2.183488829159269531e+13
2.912062062062061887e+04,2.172656508376459375e+13
2.918058058058057941e+04,2.161879412302287891e+13
2.924054054054053995e+04,2.151157348004339453e+13
2.930050050050050049e+04,2.140489812015588281e+13
2.936046046046046104e+04,2.129876613622412109e+13
2.942042042042042158e+04,2.119317460675369922e+13
2.948038038038038212e+04,2.108812062784310156e+13
2.954034034034033903e+04,2.098360131304365625e+13
2.960030030030029957e+04,2.087961379323360547e+13
2.966026026026026011e+04,2.077615521647276172e+13
2.972022022022022065e+04,2.067322274788672656e+13
2.978018018018018120e+04,2.057081356955396875e+13
2.984014014014014174e+04,2.046892488033071875e+13
2.990010010010009864e+04,2.036755389579538672e+13
2.996006006006005919e+04,2.026669784807542578e+13
3.002002002002001973e+04,2.016635398573689453e+13
3.007997997997998027e+04,2.006651957368996484e+13
3.013993993993994081e+04,1.996719189302226172e+13
3.019989989989990136e+04,1.986836824093573828e+13
3.025985985985985826e+04,1.977004593056659766e+13
3.031981981981981880e+04,1.967222229094586328e+13
3.037977977977977935e+04,1.957489466681786328e+13
3.043973973973973989e+04,1.947806041856189844e+13
3.049969969969970043e+04,1.938171692207239844e+13
3.055965965965966097e+04,1.928586156865226562e+13
3.061961961961961788e+04,1.919049285633038281e+13
3.067957957957957842e+04,1.909560603779082812e+13
3.073953953953953896e+04,1.900119962769302344e+13
3.079949949949949951e+04,1.890727107786545312e+13
3.085945945945946005e+04,1.881381785500485547e+13
3.091941941941942059e+04,1.872083744055667188e+13
3.097937937937938113e+04,1.862832733063610547e+13
3.103933933933933804e+04,1.853628503590505469e+13
3.109929929929929858e+04,1.844470808147715625e+13
3.115925925925925912e+04,1.835359400681491797e+13
3.121921921921921967e+04,1.826294036564959766e+13
3.127917917917918021e+04,1.817274472584430469e+13
3.133913913913914075e+04,1.808300466932841797e+13
3.139909909909909766e+04,1.799371779198601562e+13
3.145905905905905820e+04,1.790488170356071484e+13
3.151901901901901874e+04,1.781649402757467188e+13
3.157897897897897928e+04,1.772855240120515625e+13
3.163893893893893983e+04,1.764105447522856250e+13
3.169889889889890037e+04,1.755399791388913281e+13
3.175885885885885727e+04,1.746738039482708398e+13
3.181881881881881782e+04,1.738119960899874805e+13
3.187877877877877836e+04,1.729545326056547461e+13
3.193873873873873890e+04,1.721013906680863281e+13
3.199869869869869945e+04,1.712525475805511914e+13
3.205865865865865999e+04,1.704079807756844336e+13
3.211861861861861689e+04,1.695676792150229688e+13
3.217857857857857744e+04,1.687315979245064844e+13
3.223853853853853798e+04,1.678997259844810938e+13
3.229849849849849852e+04,1.670720413369620117e+13
3.235845845845845906e+04,1.662485220490780273e+13
3.241841841841841961e+04,1.654291463125122461e+13
3.247837837837838015e+04,1.646138924422549414e+13
3.253833833833833705e+04,1.638027388763170898e+13
3.259829829829829760e+04,1.629956641743109570e+13
3.265825825825825814e+04,1.621926470172634570e+13
3.271821821821821868e+04,1.613936662062923242e+13
3.277817817817817559e+04,1.605987006621684180e+13
3.283813813813813613e+04,1.598077294243538086e+13
3.289809809809809667e+04,1.590207316502998047e+13
3.295805805805805721e+04,1.582376866147104688e+13
3.301801801801801776e+04,1.574585737086267383e+13
3.307797797797797830e+04,1.566833724388889062e+13
3.313793793793793884e+04,1.559120624270760352e+13
3.319789789789789938e+04,1.551446234092039062e+13
3.325785785785785993e+04,1.543810352345631055e+13
3.331781781781782047e+04,1.536212778651332812e+13
3.337777777777778101e+04,1.528653313750566406e+13
3.343773773773773428e+04,1.521131759496058984e+13
3.349769769769769482e+04,1.513647918845563477e+13
3.355765765765765536e+04,1.506201595857165625e+13
3.361761761761761591e+04,1.498792595679158789e+13
3.367757757757757645e+04,1.491420724544049805e+13
3.373753753753753699e+04,1.484085789762805273e+13
3.379749749749749753e+04,1.476787719907425391e+13
3.385745745745745808e+04,1.469526085416842578e+13
3.391741741741741862e+04,1.462300815621995312e+13
3.397737737737737916e+04,1.455111722077138867e+13
3.403733733733733970e+04,1.447958617378411523e+13
3.409729729729730025e+04,1.440841315160000781e+13
3.415725725725726079e+04,1.433759630086408203e+13
3.421721721721721406e+04,1.426713377847189258e+13
3.427717717717717460e+04,1.419702375147601758e+13
3.433713713713713514e+04,1.412726439707737305e+13
3.439709709709709568e+04,1.405785390249594531e+13
3.445705705705705623e+04,1.398879046496065820e+13
3.451701701701701677e+04,1.392007229160953516e+13
3.457697697697697731e+04,1.385169759945664258e+13
3.463693693693693785e+04,1.378366461532467383e+13
3.469689689689689840e+04,1.371597157575639258e+13
3.475685685685685894e+04,1.364861672699858398e+13
3.481681681681681948e+04,1.358159832489360938e+13
3.487677677677678003e+04,1.351491463488719727e+13
3.493673673673673329e+04,1.344856393188684375e+13
3.499669669669669383e+04,1.338254450025982812e+13
3.505665665665665438e+04,1.331685463376701367e+13
3.511661661661661492e+04,1.325149263548978906e+13
3.517657657657657546e+04,1.318645681778738477e+13
3.523653653653653600e+04,1.312174550221525977e+13
3.529649649649649655e+04,1.305735701952040430e+13
3.535645645645645709e+04,1.299328970951661523e+13
3.541641641641641763e+04,1.292954192109182422e+13
3.547637637637637818e+04,1.286611201210738086e+13
3.553633633633633872e+04,1.280299834937421289e+13
3.559629629629629926e+04,1.274019930857725586e+13
3.565625625625625980e+04,1.267771454813522852e+13
3.571621621621621307e+04,1.261553992736117578e+13
3.577617617617617361e+04,1.255367510848091211e+13
3.583613613613613416e+04,1.249211850217837891e+13
3.589609609609609470e+04,1.243086852776724219e+13
3.595605605605605524e+04,1.236992361310146289e+13
3.601601601601601578e+04,1.230928219457465430e+13
3.607597597597597633e+04,1.224894271701669531e+13
3.613593593593593687e+04,1.218890363369517188e+13
3.619589589589589741e+04,1.212916340621993945e+13
3.625585585585585795e+04,1.206972050451933984e+13
3.631581581581581850e+04,1.201057340677446094e+13
3.637577577577577904e+04,1.195172059939604102e+13
3.643573573573573231e+04,1.189316057693933008e+13
3.649569569569569285e+04,1.183489184207856250e+13
3.655565565565565339e+04,1.177691290556968359e+13
3.661561561561561393e+04,1.171922228616583203e+13
3.667557557557557448e+04,1.166181851059445703e+13
3.673553553553553502e+04,1.160470011351763477e+13
3.679549549549549556e+04,1.154786563746326758e+13
3.685545545545545610e+04,1.149131363278488281e+13
3.691541541541541665e+04,1.143504265763559570e+13
3.697537537537537719e+04,1.137905127787919336e+13
3.703533533533533773e+04,1.132333806710888281e+13
3.709529529529529827e+04,1.126790160652647461e+13
3.715525525525525882e+04,1.121274048495300977e+13
3.721521521521521208e+04,1.115785329877175977e+13
3.727517517517517263e+04,1.110323865186014258e+13
3.733513513513513317e+04,1.104889515557115234e+13
3.739509509509509371e+04,1.099482142870093750e+13
3.745505505505505425e+04,1.094101609739193359e+13
3.751501501501501480e+04,1.088747779514728711e+13
3.757497497497497534e+04,1.083420516276429688e+13
3.763493493493493588e+04,1.078119818761795508e+13
3.769489489489489642e+04,1.072845286004824414e+13
3.775485485485485697e+04,1.067596916818250195e+13
3.781481481481481751e+04,1.062374578158025000e+13
3.787477477477477805e+04,1.057178137685933594e+13
3.793473473473473132e+04,1.052007463771242578e+13
3.799469469469469186e+04,1.046862425481594922e+13
3.805465465465465240e+04,1.041742892580569141e+13
3.811461461461461295e+04,1.036648735524888281e+13
3.817457457457457349e+04,1.031579825459869336e+13
3.823453453453453403e+04,1.026536034213138672e+13
3.829449449449449457e+04,1.021517234294904688e+13
3.835445445445445512e+04,1.016523298889688867e+13
3.841441441441441566e+04,1.011554101855293945e+13
3.847437437437437620e+04,1.006609517719021289e+13
3.853433433433433675e+04,1.001689421670307422e+13
3.859429429429429729e+04,9.967936895628601562e+12
3.865425425425425783e+04,9.919221979039343750e+12
3.871421421421421110e+04,9.870748238573117188e+12
3.877417417417417164e+04,9.822514452348521484e+12
3.883413413413413218e+04,9.774519404931115234e+12
3.889409409409409272e+04,9.726761887333275391e+12
3.895405405405405327e+04,9.679240696934404297e+12
3.901401401401401381e+04,9.631954637469394531e+12
3.907397397397397435e+04,9.584902518983736328e+12
3.913393393393393490e+04,9.538083157799449219e+12
3.919389389389389544e+04,9.491495376478578125e+12
3.925385385385385598e+04,9.445138003790132812e+12
3.931381381381381652e+04,9.399009874661087891e+12
3.937377377377377707e+04,9.353109830178884766e+12
3.943373373373373033e+04,9.307436717508167969e+12
3.949369369369369088e+04,9.261989389885457031e+12
3.955365365365365142e+04,9.216766706578806641e+12
3.961361361361361196e+04,9.171767532854816406e+12
3.967357357357357250e+04,9.126990739939376953e+12
3.973353353353353305e+04,9.082435204991013672e+12
3.979349349349349359e+04,9.038101221466253906e+12
3.985345345345345413e+04,8.993984871157720703e+12
3.991341341341341467e+04,8.950086445647435547e+12
3.997337337337337522e+04,8.906404845476398438e+12
4.003333333333333576e+04,8.862938976950935547e+12
4.009329329329329630e+04,8.819687752108093750e+12
4.015325325325325684e+04,8.776650088681968750e+12
