Photon Energy [eV],[oe 1] Transmitivity 100umAl,[oe 2] Transmitivity 200umAl,[oe 3] Transmitivity 500umAl,[oe 2] Transmitivity 1mmAl,[oe 4] Transmitivity 10umCu,[oe 5] Transmitivity 20umCu,[oe 3] Transmitivity 50umCu,[oe 4] Transmitivity 10umFe,[oe 5] Transmitivity 50umFe,[oe 3] Transmitivity 75umPd,[oe 1] Transmitivity 5mmGraphite,[oe 2] Transmitivity 20mmGraphite,[oe 1] Transmitivity 700umCVD,[oe 4] Transmitivity 1mAir,[oe 1] Transmitivity_1.5mmSi,[oe 2] Transmitivity_25umMo
14010.7107107107,0.769214413179872,0.591690813443654,0.269300442020227,0.07252272807229,0.449511870682038,0.202060921884065,0.018352947624131,0.581736799169178,0.066624303990545,0.017912107650876,0.427580173966173,0.033424909385062,0.791714578283984,0.794024917709973,0.01211713873981,0.416262063573362
14070.6706706707,0.771737966460512,0.595579488876606,0.27374697687646,0.074937407349001,0.453702720338489,0.205846158442545,0.019224582464924,0.585398136055322,0.068747463070259,0.01875387112799,0.431433061674568,0.034646047141266,0.793669323568143,0.796178480150178,0.012801747685985,0.42046737174014
14130.6306306306,0.774227386657517,0.599428046250528,0.278190725762465,0.077390079900247,0.457866265094025,0.209641516711152,0.020123023421247,0.589025625113979,0.070904033951708,0.019621010826699,0.435252777105209,0.035889400438788,0.79559478367395,0.798300779172446,0.013512686616874,0.424647697909475
14190.5905905906,0.776683171958505,0.603236749603525,0.282630793602272,0.07988016549225,0.462002227036149,0.213446057786362,0.021048460910086,0.592619464642649,0.073093634815793,0.020513714472444,0.43903931289343,0.037154689821969,0.79749146276542,0.800392324710544,0.014250351417966,0.42880282333766
14250.5505505506,0.779105814158932,0.607005869656253,0.28706630987103,0.08240706626297,0.466110347574745,0.21725885611625,0.022001065882579,0.596179857813381,0.075315869734537,0.021432154352489,0.442792677026546,0.038441623363961,0.799359856048486,0.802453618471163,0.015015121138885,0.432932545612709
14310.5105105105,0.781495798667376,0.610735683334759,0.291496428444099,0.084970167795666,0.470190386926009,0.22107899995763,0.022980989721434,0.599707012353272,0.077570329332605,0.022376487283838,0.446512892149448,0.039749897315227,0.801200449901979,0.804485154022932,0.015807357546405,0.437036678132175
14370.4704704705,0.783853604516158,0.614426473312974,0.295920327421411,0.087568840181195,0.47424212359898,0.22490559179567,0.023988364177787,0.603201140237449,0.079856591445621,0.023346854607093,0.450199994891427,0.041079196749843,0.803013722009057,0.80648741688763,0.016627404718792,0.441115049591082
14430.4304304304,0.786179704376966,0.618078527574253,0.300337208928907,0.090202439067206,0.478265353885362,0.22873774872709,0.025023301346538,0.60666245739415,0.082174221774224,0.024343382205366,0.453854035213983,0.042429196208102,0.804800141488882,0.80846088463338,0.017475588681376,0.445167503480126
14490.3903903904,0.788474564581106,0.621692138991365,0.304746298898784,0.092870306692507,0.482259891353236,0.232574602808035,0.026085893679094,0.610091183421534,0.084522774532786,0.025366180547328,0.45747507577927,0.043799560334011,0.806560169028364,0.810406026969553,0.018352217083099,0.449193897594232
14550.3503503504,0.790738645144085,0.625267604924303,0.309146846830193,0.095571772905051,0.486225566345223,0.236415301367732,0.027176214032396,0.613487541315824,0.08690179309186,0.026415344753441,0.461063191338851,0.045189944506379,0.808294257013799,0.812323305843172,0.019257578913662,0.45319410355156
